Timestamp,Trading Date Time,Symbol,Price,Price Notation,Price Currency,Executed Shares,Notional Amount,Notional Currency,Execution Venue,Third Country Trading Venue,Publication Date Time,Trade ID,Transaction To Be Cleared,Market Mechanism,Trading Mode,Transaction Category,Negotiation Flag,Agency Cross Trade,Modification Indicator,Benchmark/Reference Indicator,Special Dividend,Off Book Automated,Price Discovery Process,Algorithmic Indicator,Pre-Trade Transparency Waiver,Portfolio Flag,Contingent Flag,Give-up Flag,Post-Trade Deferral Reason,Deferral Or Enrichment Type,Deferral Illiquid Instrument,Deferral Size Specific,Duplicative Indicator,Duplicative Across Jurisdiction,Intra-Group Indicator,Jurisdiction
15:01:00,2026-09-15T14:01:00.011418Z,FR0011341205,00000031.320000000,MONE,EUR,000000000014,00000438.480000000,EUR,CEUX,    ,2026-09-15T14:01:00.011418Z,0002500036PC,TRUE ,LB  ,CT  ,    ,    ,    ,    ,    ,    ,    ,    ,ALGO,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,EU
15:01:00,2026-09-15T14:01:00.041714Z,FR0010481960,00000071.700000000,MONE,EUR,000000000002,00000143.400000000,EUR,CEUX,    ,2026-09-15T14:01:00.041714Z,000240002653,TRUE ,LB  ,CT  ,    ,    ,    ,    ,    ,    ,    ,    ,ALGO,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,EU
15:01:00,2026-09-15T14:01:00.046643Z,BE0003816338,00000016.980000000,MONE,EUR,000000000023,00000390.540000000,EUR,BEUP,    ,2026-09-15T14:01:00.046643Z,000260003Y5E,TRUE ,PA  ,OD  ,    ,    ,    ,    ,    ,    ,    ,    ,ALGO,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,EU
15:01:00,2026-09-15T14:01:00.047298Z,SE0000117970,00000176.300000000,MONE,SEK,000000000151,00026621.300000000,SEK,CEUX,    ,2026-09-15T14:01:00.047298Z,0002C0008KKH,TRUE ,LB  ,CT  ,    ,    ,    ,    ,    ,    ,    ,    ,ALGO,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,EU
15:01:00,2026-09-15T14:01:00.047298Z,SE0000117970,00000176.300000000,MONE,SEK,000000000140,00024682.000000000,SEK,CEUX,    ,2026-09-15T14:01:00.047298Z,0002C0008KKI,TRUE ,LB  ,CT  ,    ,    ,    ,    ,    ,    ,    ,    ,ALGO,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,EU
15:01:00,2026-09-15T14:01:00.055059Z,GB00BNTJ3546,00000009.045000000,MONE,EUR,000000001000,00009045.000000000,EUR,BEUP,    ,2026-09-15T14:01:00.055059Z,000260003Y5F,TRUE ,PA  ,OD  ,    ,    ,    ,    ,    ,    ,    ,    ,ALGO,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,EU
15:01:00,2026-09-15T14:01:00.071550Z,BE0974259880,00000171.400000000,MONE,EUR,000000000001,00000171.400000000,EUR,CEUX,    ,2026-09-15T14:01:00.071550Z,000260003Y5G,TRUE ,LB  ,CT  ,    ,    ,    ,    ,    ,    ,    ,    ,ALGO,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,EU
15:01:00,2026-09-15T14:01:00.075019Z,FR0004007813,00000021.750000000,MONE,EUR,000000000030,00000652.500000000,EUR,BEUP,    ,2026-09-15T14:01:00.075019Z,0002500036PD,TRUE ,PA  ,OD  ,    ,    ,    ,    ,    ,    ,    ,    ,ALGO,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,EU
15:01:00,2026-09-15T14:01:00.075019Z,FR0004007813,00000021.750000000,MONE,EUR,000000000021,00000456.750000000,EUR,BEUP,    ,2026-09-15T14:01:00.075019Z,0002500036PE,TRUE ,PA  ,OD  ,    ,    ,    ,    ,    ,    ,    ,    ,ALGO,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,EU
15:01:00,2026-09-15T14:01:00.075019Z,FR0004007813,00000021.750000000,MONE,EUR,000000000003,00000065.250000000,EUR,BEUP,    ,2026-09-15T14:01:00.075019Z,0002500036PF,TRUE ,PA  ,OD  ,    ,    ,    ,    ,    ,    ,    ,    ,ALGO,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,EU
15:01:00,2026-09-15T14:01:00.097000Z,FR0000121972,00000275.775000000,MONE,EUR,000000000011,00003033.525000000,EUR,CEUD,    ,2026-09-15T14:01:00.097000Z,000F500036PG,TRUE ,DB  ,CT  ,D   ,    ,    ,    ,RFPT,    ,    ,    ,ALGO,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,EU
